name,price,capacity_w,capacity_va
CyberPower CP1500PFCLCD,219.95,1000.0,1500.0
APC SURT20KRMXLT,17175.0,16000.0,20000.0
APC SRT10KXLI,20719.0,10000.0,10000.0
APC SRT10KRMXLI,14500.0,10000.0,10000.0
APC Back-UPS 1500,174.99,900.0,1500.0
CyberPower CP1500AVRLCD,239.66,900.0,1500.0
CyberPower ST425,53.95,260.0,425.0
APC Back-UPS Pro 1500S,276.0,900.0,1500.0
APC SRT10KXLT,8000.0,10000.0,10000.0
CyberPower CP550SLG,69.95,330.0,550.0
CyberPower CP1000PFCLCD,164.95,600.0,1000.0
CyberPower PR2200LCDSL,855.95,1980.0,2070.0
CyberPower CP1500AVRLCD3,189.95,900.0,1500.0
CyberPower CST135XLU,139.99,810.0,1350.0
CyberPower PR3000LCD,1319.95,2700.0,3000.0
APC Back-UPS Pro 1500VA,179.99,900.0,1500.0
PowerWalker Basic VI 2200 STL UK,0.0,1320.0,2200.0
CyberPower EC850LCD,109.95,510.0,850.0
APC Back-UPS Pro 1500,279.99,865.0,1500.0
APC Back-UPS Pro 1500VA for Gaming,0.0,900.0,1500.0
APC SURTA3000XL,3308.22,2100.0,3000.0
APC Back-UPS Pro 700VA,149.99,420.0,700.0
APC SUA5000RMI5U,8475.0,4000.0,5000.0
APC BE850G2,133.99,450.0,850.0
CyberPower OR2200LCDRTXL2U,822.95,1650.0,2190.0
CyberPower AVRG750U,109.95,450.0,750.0
CyberPower CP1200AVR,152.95,720.0,1200.0
CyberPower CP1350AVRLCD,189.99,810.0,1350.0
CyberPower PR1500LCD,545.95,1050.0,1500.0
CyberPower EC650LCD,87.95,390.0,650.0
APC Back-UPS Pro 1000S,174.9,600.0,1000.0
APC BE600M1,79.0,330.0,600.0
CyberPower CP1350PFCLCD,199.95,810.0,1350.0
CyberPower CP1300EPFCLCD,0.0,780.0,1300.0
APC SRT5KXLI,6356.0,4500.0,5000.0
CyberPower OR2200PFCRT2U,669.95,1320.0,2000.0
APC BE670M1,77.99,360.0,675.0
CyberPower PR2200LCD,1029.95,1980.0,2200.0
CyberPower OR2200LCDRT2U,604.95,1320.0,2000.0
Tripp Lite SMART1500PSGLCD,293.8,900.0,1500.0
CyberPower CP1500EPFCLCD,0.0,900.0,1500.0
APC Back-UPS 1000,169.99,600.0,1000.0
CyberPower EC750G,98.95,450.0,750.0
APC SMX1500RMI2UNC,1458.5,1200.0,1500.0
CyberPower OR1500LCDRTXL2U,629.95,1125.0,1500.0
APC BK325I,0.0,210.0,325.0
APC Easy UPS BV1000I-MS 230V,0.0,600.0,1000.0
APC SMX2200RMHV2U,1964.35,1980.0,2200.0
APC SRT10KRMXLT,5800.0,10000.0,10000.0
APC BE650G1,80.74,390.0,650.0
APC SRT6KXLT,5500.0,6000.0,6000.0
CyberPower CP1000AVRLCD,159.94,600.0,1000.0
CyberPower LE1000DG,119.99,530.0,1000.0
APC SRT5KXLT,4303.97,4250.0,5000.0
CyberPower EC550G,0.0,330.0,550.0
APC SRT6KRMXLI,11645.0,6000.0,6000.0
APC Back-UPS Pro 1350S,229.5,810.0,1350.0
